i0,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
757,992,1806,3536,5908,12702,25553,47468,93326,188824,378926
393,795,1423,2841,6222,11835,23381,47256,96606,188548,378381
370,1006,3305,4987,6564,12151,23870,46943,95426,190653,373192
375,871,1945,3199,6695,11688,23807,47351,93928,188364,374371
433,803,1676,3082,6877,11635,23288,47210,92312,190934,371586
538,729,1432,3006,7332,12387,23586,46605,93061,186106,372825
376,779,1624,2909,7233,11997,22976,46299,94083,188381,373996
369,742,1428,3072,7256,12512,23542,47145,92060,188529,370135
387,727,1435,3315,6808,11960,23290,46910,93109,187729,373744
383,730,1520,3560,6237,12754,23143,46746,92390,188943,371532
423,751,1781,3855,6160,13835,23606,46445,94542,186078,377583
