i0,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
3899,5544,5084,7346,13937,26950,53767,108027,221755,434438,866180
878,1661,3765,7810,14097,27170,53770,110586,216686,435718,865269
896,1655,3310,7577,13703,26720,53507,106604,221453,437047,869910
889,1741,3352,7202,13751,26711,56402,106978,220539,435874,862957
861,1658,3537,7960,13606,27071,54159,107320,219658,435091,867355
876,1676,4227,7881,14683,27426,53404,106485,216797,434541,866121
904,1668,3278,7165,13990,26967,53767,107281,226951,435394,912894
977,1901,3871,7792,15443,31973,63558,124371,255809,531470,1085151
1087,2659,4346,9094,17403,34478,68756,139843,273906,549712,1099348
1140,2300,4658,9053,18505,36265,71042,147512,303370,579019,1125428
1086,2150,4500,8817,17292,34793,69121,140566,273207,513422,946424
